"Województwo","Powiat","Gmina","Teryt","Liczba.wyborców.uprawnionych.do.głosowania","Komisja.otrzymała.kart.do.głosowania","Nie.wykorzystano.kart.do.głosowania","Liczba.wyborców..którym.wydano.karty.do.głosowania","Liczba.wyborców.głosujących.przez.pełnomocnika","Liczba.wyborców.głosujących.na.podstawie.zaświadczenia","Liczba.wyborców..którym.wysłano.pakiety.wyborcze","Liczba.otrzymanych.kopert.zwrotnych","w.których.nie.było.oświadczenia","w.których.oświadczenie.nie.było.podpisane","w.których.nie.było.koperty.na.kartę.do.głosowania","w.których.znajdowała.się.niezaklejona.koperta","Liczba.kopert.na.kartę.do.głosowania.wrzuconych.do.urny","Liczba.kart.wyjętych.z.urny","w.tym.liczba.kart.wyjętych.z.kopert","Liczba.kart.nieważnych","Liczba.kart.ważnych","Liczba.głosów.nieważnych","Liczba.głosów.ważnych","RAZEM","Grzegorz.Michał.BRAUN","Andrzej.Sebastian.DUDA","Adam.Sebastian.JARUBAS","Bronisław.Maria.KOMOROWSKI","Janusz.Ryszard.KORWIN.MIKKE","Marian.Janusz.KOWALSKI","Paweł.Piotr.KUKIZ","Magdalena.Agnieszka.OGÓREK","Janusz.Marian.PALIKOT","Paweł.Jan.TANAJNO","Jacek.WILK"
"pomorskie","człuchowski","m. Człuchów","220301",11491,10028,4664,5364,0,29,8,8,0,0,0,0,8,5372,8,0,5372,42,5330,5330,22,1192,42,2487,167,20,1109,147,107,6,31
"pomorskie","człuchowski","gm. Koczała","220305",2827,2475,1433,1042,1,7,0,0,0,0,0,0,0,1042,0,0,1042,24,1018,1018,2,225,13,496,28,4,185,48,11,4,2
"pomorskie","człuchowski","gm. Przechlewo","220306",4901,4104,2054,2050,0,9,0,0,0,0,0,0,0,2050,0,0,2050,19,2031,2031,11,446,47,1058,79,17,290,56,14,2,11
"pomorskie","człuchowski","gm. Rzeczenica","220307",2987,2601,1471,1130,0,13,0,0,0,0,0,0,0,1130,0,0,1130,10,1120,1120,3,351,16,472,31,3,194,30,11,1,8
"pomorskie","człuchowski","gm. Człuchów","220303",8202,6892,3929,2963,0,15,1,1,1,0,0,0,0,2963,0,0,2963,18,2945,2945,19,787,71,1146,122,15,632,97,42,4,10
"pomorskie","człuchowski","gm. Czarne","220302",8517,7512,4158,3354,0,16,0,0,0,0,0,0,0,3354,0,0,3354,35,3319,3319,31,814,70,1567,76,18,530,150,50,4,9
"pomorskie","człuchowski","gm. Debrzno","220304",7276,6094,3430,2664,0,24,2,2,0,0,0,0,2,2666,2,1,2665,24,2641,2641,5,606,52,1233,51,15,523,112,28,4,12
"pomorskie","gdański","gm. Cedry Wielkie","220402",5143,4303,2320,1983,0,7,0,0,0,0,0,0,0,1983,0,0,1983,19,1964,1964,10,525,24,853,65,14,384,47,26,8,8
"pomorskie","gdański","gm. Pruszcz Gdański","220404",18940,16332,6329,10003,3,77,11,10,0,0,0,0,10,10012,10,1,10011,98,9913,9913,86,2251,72,4192,363,43,2451,198,168,25,64
"pomorskie","gdański","gm. Trąbki Wielkie","220408",8066,6900,3743,3157,0,27,0,0,0,0,0,0,0,3157,0,0,3157,26,3131,3131,11,953,30,1302,99,30,579,86,17,3,21
"pomorskie","gdański","gm. Kolbudy","220403",11591,9900,3623,6276,0,70,10,8,1,0,0,0,7,6283,7,0,6283,64,6219,6219,73,1415,36,2837,212,20,1328,113,124,28,33
"pomorskie","gdański","m. Pruszcz Gdański","220401",21485,18363,6681,11682,3,63,15,13,0,0,0,0,13,11695,13,1,11694,113,11581,11581,91,2666,74,5086,395,48,2631,279,204,44,63
"pomorskie","gdański","gm. Pszczółki","220406",6854,5809,2601,3208,0,15,0,0,0,0,0,0,0,3208,0,0,3208,30,3178,3178,24,889,43,1268,123,18,693,53,45,9,13
"pomorskie","gdański","gm. Przywidz","220405",4421,3705,1839,1866,0,12,0,0,0,0,0,0,0,1866,0,0,1866,24,1842,1842,12,515,14,845,51,8,324,38,19,4,12
"pomorskie","gdański","gm. Suchy Dąb","220407",3225,2799,1616,1183,0,3,0,0,0,0,0,0,0,1183,0,0,1183,14,1169,1169,11,251,20,538,39,7,258,27,14,0,4
"pomorskie","kartuski","gm. Przodkowo","220503",6176,5207,2084,3123,1,13,2,2,0,0,0,0,2,3125,2,0,3125,25,3100,3100,23,1216,34,1059,83,16,572,52,23,11,11
"pomorskie","kartuski","gm. Kartuzy","220502",24637,21282,8042,13240,4,77,6,6,0,0,0,0,6,13243,6,0,13243,126,13117,13117,109,4655,115,5121,329,69,2303,204,128,24,60
"pomorskie","kartuski","gm. Stężyca","220506",7230,6117,2353,3764,0,134,0,0,0,0,0,0,0,3762,0,0,3762,47,3715,3715,38,1627,37,1345,78,14,477,69,11,4,15
"pomorskie","kartuski","gm. Somonino","220505",7473,6205,2825,3380,2,19,6,6,0,0,0,0,6,3385,6,0,3385,37,3348,3348,21,1310,30,1286,85,22,494,58,21,3,18
"pomorskie","kartuski","gm. Sulęczyno","220507",4032,3498,1303,2195,0,45,0,0,0,0,0,0,0,2195,0,0,2195,8,2187,2187,17,919,19,840,36,9,293,39,8,1,6
"pomorskie","kartuski","gm. Żukowo","220508",24247,20508,7225,13283,2,79,1,1,0,0,0,0,1,13282,1,4,13278,112,13166,13166,121,3681,79,5519,427,75,2807,192,166,26,73
"pomorskie","kartuski","gm. Chmielno","220501",5529,4695,1816,2879,3,22,0,0,0,0,0,0,0,2879,0,0,2879,18,2861,2861,27,1154,47,1012,48,22,459,62,10,6,14
"pomorskie","kartuski","gm. Sierakowice","220504",13355,11311,3990,7321,0,46,1,1,0,0,0,0,1,7322,1,2,7320,37,7283,7283,77,3740,65,2128,145,31,913,127,37,5,15
