"Województwo","Powiat","Gmina","Teryt","Liczba.wyborców.uprawnionych.do.głosowania","Komisja.otrzymała.kart.do.głosowania","Nie.wykorzystano.kart.do.głosowania","Liczba.wyborców..którym.wydano.karty.do.głosowania","Liczba.wyborców.głosujących.przez.pełnomocnika","Liczba.wyborców.głosujących.na.podstawie.zaświadczenia","Liczba.wyborców..którym.wysłano.pakiety.wyborcze","Liczba.otrzymanych.kopert.zwrotnych","w.których.nie.było.oświadczenia","w.których.oświadczenie.nie.było.podpisane","w.których.nie.było.koperty.na.kartę.do.głosowania","w.których.znajdowała.się.niezaklejona.koperta","Liczba.kopert.na.kartę.do.głosowania.wrzuconych.do.urny","Liczba.kart.wyjętych.z.urny","w.tym.liczba.kart.wyjętych.z.kopert","Liczba.kart.nieważnych","Liczba.kart.ważnych","Liczba.głosów.nieważnych","Liczba.głosów.ważnych","RAZEM","Grzegorz.Michał.BRAUN","Andrzej.Sebastian.DUDA","Adam.Sebastian.JARUBAS","Bronisław.Maria.KOMOROWSKI","Janusz.Ryszard.KORWIN.MIKKE","Marian.Janusz.KOWALSKI","Paweł.Piotr.KUKIZ","Magdalena.Agnieszka.OGÓREK","Janusz.Marian.PALIKOT","Paweł.Jan.TANAJNO","Jacek.WILK"
"dolnośląskie","bolesławiecki","gm. Nowogrodziec","020104",11934,10283,5779,4504,0,7,0,0,0,0,0,0,0,4504,0,0,4504,41,4463,4463,41,1680,50,1289,152,39,1074,80,38,5,15
"dolnośląskie","bolesławiecki","m. Bolesławiec","020101",31535,27140,11991,15149,8,79,7,7,0,0,0,0,7,15152,7,3,15149,110,15039,15039,152,4018,114,6059,576,68,3336,405,224,19,68
"dolnośląskie","bolesławiecki","gm. Warta Bolesławiecka","020106",6700,5706,3080,2626,2,7,2,2,0,0,0,0,2,2628,2,0,2628,46,2582,2582,19,916,29,881,88,5,538,59,40,1,6
"dolnośląskie","bolesławiecki","gm. Osiecznica","020105",5467,4710,2473,2237,0,26,0,0,0,0,0,0,0,2237,0,0,2237,14,2223,2223,17,570,28,803,85,14,580,76,38,2,10
"dolnośląskie","bolesławiecki","gm. Bolesławiec","020102",10951,9390,4614,4776,0,17,1,1,0,0,0,0,1,4777,1,0,4777,26,4751,4751,53,1489,59,1678,180,21,1076,121,50,11,13
"dolnośląskie","bolesławiecki","gm. Gromadka","020103",4539,3907,1943,1964,0,8,1,1,0,0,0,0,1,1965,1,0,1965,22,1943,1943,13,776,16,669,50,4,338,45,19,1,12
"dolnośląskie","dzierżoniowski","m. Bielawa","020201",25187,21943,10809,11134,7,35,5,5,0,0,0,0,5,11139,5,3,11136,79,11057,11057,57,3266,77,4264,341,48,2530,253,173,10,38
"dolnośląskie","dzierżoniowski","gm. Dzierżoniów","020205",7709,6627,3136,3491,0,11,2,2,2,0,0,0,0,3491,0,0,3491,29,3462,3462,22,1200,36,1193,78,22,779,61,46,11,14
"dolnośląskie","dzierżoniowski","gm. Niemcza","020207",4749,4101,2114,1987,3,32,0,0,0,0,0,0,0,1987,0,0,1987,20,1967,1967,13,617,20,766,53,8,405,51,24,0,10
"dolnośląskie","dzierżoniowski","m. Piława Górna","020204",5293,4610,2394,2216,8,16,0,0,0,0,0,0,0,2216,0,0,2216,14,2202,2202,6,761,20,771,72,15,477,42,25,4,9
"dolnośląskie","dzierżoniowski","gm. Łagiewniki","020206",6085,5166,2535,2631,0,10,0,0,0,0,0,0,0,2631,0,0,2631,17,2614,2614,18,1010,32,870,68,17,506,59,21,1,12
"dolnośląskie","dzierżoniowski","m. Pieszyce","020203",7696,6714,3476,3238,5,19,0,0,0,0,0,0,0,3238,0,0,3238,27,3211,3211,27,1138,31,1183,132,15,555,63,49,7,11
"dolnośląskie","dzierżoniowski","m. Dzierżoniów","020202",27811,23879,10765,13112,5,38,3,3,0,0,0,0,3,13115,3,0,13115,128,12987,12987,69,3771,97,5466,372,72,2496,390,197,17,40
"dolnośląskie","głogowski","m. Głogów","020301",54178,46931,20088,26841,3,121,8,8,0,0,0,0,8,26847,8,0,26847,182,26665,26665,147,9211,179,9242,629,122,5859,775,338,41,122
"dolnośląskie","głogowski","gm. Głogów","020302",5175,4410,1844,2566,0,4,1,0,0,0,0,0,0,2566,0,0,2566,14,2552,2552,17,960,29,791,77,2,581,56,29,5,5
"dolnośląskie","głogowski","gm. Pęcław","020305",1774,1502,810,692,0,0,0,0,0,0,0,0,0,692,0,0,692,1,691,691,2,289,20,182,15,3,144,11,15,1,9
"dolnośląskie","głogowski","gm. Jerzmanowa","020303",3544,3009,1095,1914,1,11,0,0,0,0,0,0,0,1914,0,0,1914,18,1896,1896,8,710,15,548,68,12,476,41,11,0,7
"dolnośląskie","głogowski","gm. Kotla","020304",3391,3002,1656,1346,2,1,0,0,0,0,0,0,0,1346,0,0,1346,15,1331,1331,12,534,12,439,25,1,254,34,13,1,6
"dolnośląskie","głogowski","gm. Żukowice","020306",2780,2400,1265,1135,1,3,2,2,0,0,0,0,2,1137,2,0,1137,5,1132,1132,2,375,19,335,23,4,321,37,15,1,0
"dolnośląskie","górowski","gm. Jemielno","020402",2507,2302,1488,814,1,6,0,0,0,0,0,0,0,814,0,0,814,7,807,807,2,305,23,279,20,5,124,27,17,3,2
"dolnośląskie","górowski","gm. Niechlów","020403",3973,3504,2069,1435,0,8,0,0,0,0,0,0,0,1435,0,0,1435,13,1422,1422,14,518,53,458,51,7,270,41,7,2,1
"dolnośląskie","górowski","gm. Góra","020401",16098,13991,7526,6465,3,23,0,0,0,0,0,0,0,6465,0,0,6465,52,6413,6413,33,2074,127,2286,155,25,1457,141,83,3,29
"dolnośląskie","górowski","gm. Wąsosz","020404",5909,4999,2901,2098,1,13,7,7,0,0,0,0,7,2105,7,0,2105,19,2086,2086,12,763,48,688,81,10,400,45,25,2,12
"dolnośląskie","jaworski","gm. Paszowice","020505",3208,2804,1501,1303,0,2,0,0,0,0,0,0,0,1303,0,0,1303,8,1295,1295,11,462,28,426,34,5,272,28,16,3,10
"dolnośląskie","jaworski","gm. Bolków","020502",8706,7628,4107,3521,5,6,3,3,0,0,0,0,3,3524,3,0,3524,39,3485,3485,14,1054,57,1335,92,19,744,113,42,4,11
"dolnośląskie","jaworski","gm. Mściwojów","020504",3297,2801,1393,1408,0,6,0,0,0,0,0,0,0,1408,0,0,1408,16,1392,1392,12,440,47,484,21,2,321,45,14,3,3
"dolnośląskie","jaworski","gm. Wądroże Wielkie","020506",3258,2954,1674,1280,0,0,0,0,0,0,0,0,0,1280,0,0,1280,17,1263,1263,5,392,41,447,34,9,302,15,10,2,6
"dolnośląskie","jaworski","gm. Męcinka","020503",3961,3401,1689,1712,0,4,0,0,0,0,0,0,0,1712,0,0,1712,9,1703,1703,9,784,28,467,34,4,318,44,9,2,4
"dolnośląskie","jaworski","m. Jawor","020501",19523,17172,8284,8886,3,35,7,7,0,0,0,0,7,8895,7,0,8895,66,8829,8829,95,3073,80,2956,287,23,1952,196,110,16,41
"dolnośląskie","jeleniogórski","gm. Podgórzyn","020608",6679,5771,2909,2862,4,37,2,2,0,0,0,0,2,2864,2,0,2864,20,2844,2844,20,628,22,1375,78,5,587,55,55,5,14
"dolnośląskie","jeleniogórski","gm. Mysłakowice","020607",8138,6918,3472,3446,0,24,0,0,0,0,0,0,0,3446,0,0,3446,32,3414,3414,18,918,34,1471,77,18,709,89,60,4,16
"dolnośląskie","jeleniogórski","gm. Janowice Wielkie","020605",3519,2996,1499,1497,3,5,0,0,0,0,0,0,0,1497,0,0,1497,11,1486,1486,17,375,11,660,49,9,300,30,26,4,5
"dolnośląskie","jeleniogórski","m. Szklarska Poręba","020604",5523,4714,2153,2561,0,103,0,0,0,0,0,0,0,2561,0,0,2561,14,2547,2547,12,598,26,1178,55,9,520,73,62,5,9
"dolnośląskie","jeleniogórski","m. Piechowice","020603",5234,4601,2198,2403,3,16,0,0,0,0,0,0,0,2403,0,0,2403,14,2389,2389,8,619,25,1004,98,6,523,61,35,1,9
"dolnośląskie","jeleniogórski","gm. Stara Kamienica","020609",4207,3603,1929,1674,1,4,0,0,0,0,0,0,0,1674,0,0,1674,17,1657,1657,5,434,21,688,45,6,377,46,22,5,8
"dolnośląskie","jeleniogórski","m. Kowary","020602",9041,7897,4027,3870,1,29,0,0,0,0,0,0,0,3870,0,0,3870,41,3829,3829,23,921,29,1777,97,21,767,89,79,9,17
"dolnośląskie","jeleniogórski","gm. Jeżów Sudecki","020606",5637,4804,2316,2488,0,22,1,1,0,0,0,0,1,2489,1,0,2489,9,2480,2480,12,577,24,1086,54,6,558,73,65,7,18
"dolnośląskie","jeleniogórski","m. Karpacz","020601",4430,3721,1600,2121,1,235,4,4,0,0,0,0,4,2124,4,0,2124,15,2109,2109,9,397,25,1094,82,5,383,52,42,5,15
"dolnośląskie","kamiennogórski","gm. Kamienna Góra","020702",7034,6020,2900,3120,1,16,1,1,0,0,0,0,1,3121,1,0,3121,40,3081,3081,18,1004,33,1154,69,10,664,75,33,8,13
"dolnośląskie","kamiennogórski","gm. Lubawka","020703",9248,7909,3803,4106,4,24,1,1,0,0,0,0,1,4106,1,0,4106,39,4067,4067,20,1161,31,1760,77,18,805,117,62,1,15
"dolnośląskie","kamiennogórski","gm. Marciszów","020704",3748,3306,1888,1418,0,1,0,0,0,0,0,0,0,1418,0,0,1418,6,1412,1412,6,466,22,546,25,10,269,48,12,2,6
"dolnośląskie","kamiennogórski","m. Kamienna Góra","020701",16439,14476,7440,7036,5,36,1,1,1,0,0,0,0,7035,0,0,7035,57,6978,6978,31,2108,46,2868,142,39,1446,192,70,10,26
"dolnośląskie","kłodzki","m. Kłodzko","020802",22779,19774,9406,10368,13,52,5,5,0,0,0,0,5,10370,5,0,10370,66,10304,10304,83,2812,101,4252,349,43,2212,241,180,5,26
"dolnośląskie","kłodzki","gm. Radków","020812",7535,6460,3492,2968,1,45,1,1,0,0,0,0,1,2968,1,0,2968,27,2941,2941,15,1017,37,1104,77,7,587,70,19,2,6
"dolnośląskie","kłodzki","m. Polanica-Zdrój","020805",5872,4823,1989,2834,3,274,0,0,0,0,0,0,0,2814,0,0,2814,21,2793,2793,14,891,22,1139,99,5,496,71,42,4,10
"dolnośląskie","kłodzki","m. Duszniki-Zdrój","020801",4103,3496,1631,1865,0,155,2,2,1,0,0,0,1,1866,1,0,1866,16,1850,1850,9,505,10,855,65,6,310,48,31,3,8
"dolnośląskie","kłodzki","gm. Kłodzko","020807",13937,11909,6038,5871,1,40,3,3,0,0,0,0,3,5874,3,0,5874,51,5823,5823,24,2007,199,1860,190,20,1275,140,84,6,18
"dolnośląskie","kłodzki","m. Nowa Ruda","020804",19121,16646,8796,7849,10,42,6,6,0,0,0,0,6,7855,6,1,7854,56,7798,7798,57,2107,70,3296,205,33,1653,228,115,8,26
"dolnośląskie","kłodzki","gm. Międzylesie","020810",6019,5115,2683,2432,0,21,0,0,0,0,0,0,0,2432,0,0,2432,18,2414,2414,14,692,34,902,75,15,554,73,36,4,15
"dolnośląskie","kłodzki","m. Kudowa-Zdrój","020803",8552,7105,3141,3964,2,253,0,0,0,0,0,0,0,3964,0,0,3964,27,3937,3937,41,1242,40,1626,93,21,715,81,59,4,15
"dolnośląskie","kłodzki","gm. Stronie Śląskie","020813",6072,5335,2881,2454,1,39,3,3,0,0,0,0,3,2457,3,0,2457,24,2433,2433,9,582,24,1011,61,16,597,79,45,1,8
"dolnośląskie","kłodzki","gm. Lewin Kłodzki","020809",1648,1400,742,658,1,39,0,0,0,0,0,0,0,658,0,0,658,5,653,653,6,219,8,208,21,3,140,32,11,1,4
"dolnośląskie","kłodzki","gm. Lądek-Zdrój","020808",7177,5966,2853,3113,2,196,4,4,0,0,0,0,4,3117,4,0,3117,28,3089,3089,31,906,30,1244,73,12,640,92,38,9,14
"dolnośląskie","kłodzki","gm. Szczytna","020814",5945,5096,2721,2375,0,27,0,0,0,0,0,0,0,2375,0,0,2375,13,2362,2362,6,680,25,903,94,15,532,50,42,8,7
"dolnośląskie","kłodzki","gm. Nowa Ruda","020811",9782,8568,4689,3879,2,11,0,0,0,0,0,0,0,3879,0,0,3879,24,3855,3855,22,1045,51,1515,113,17,914,110,45,7,16
"dolnośląskie","kłodzki","gm. Bystrzyca Kłodzka","020806",15972,13984,7093,6891,1,103,1,1,0,0,0,0,1,6892,1,0,6892,46,6846,6846,66,2428,91,2386,160,40,1404,146,85,8,32
"dolnośląskie","legnicki","m. Chojnów","020901",11134,9603,4770,4833,3,14,0,0,0,0,0,0,0,4833,0,0,4833,33,4800,4800,34,1638,36,1663,158,15,1066,130,42,4,14
"dolnośląskie","legnicki","gm. Miłkowice","020906",5155,4502,1936,2566,1,6,2,1,0,0,0,0,1,2567,1,3,2564,12,2552,2552,11,841,37,855,68,11,621,58,39,4,7
"dolnośląskie","legnicki","gm. Kunice","020904",4961,4205,1650,2555,0,11,1,0,0,0,0,0,0,2555,0,0,2555,23,2532,2532,30,765,32,933,78,20,539,70,37,7,21
"dolnośląskie","legnicki","gm. Krotoszyce","020903",2544,2202,1021,1181,0,6,0,0,0,0,0,0,0,1181,0,0,1181,21,1160,1160,4,485,10,325,21,3,288,9,14,0,1
"dolnośląskie","legnicki","gm. Ruja","020908",2144,1993,1190,803,0,1,0,0,0,0,0,0,0,803,0,0,803,6,797,797,2,267,17,285,20,3,164,33,2,1,3
"dolnośląskie","legnicki","gm. Legnickie Pole","020905",3764,3261,1425,1836,1,7,1,1,0,0,0,0,1,1837,1,0,1837,14,1823,1823,10,665,40,563,60,6,420,30,22,1,6
"dolnośląskie","legnicki","gm. Chojnów","020902",7636,6531,3539,2992,3,10,0,0,0,0,0,0,0,2991,0,0,2991,16,2975,2975,15,1172,46,926,97,22,596,70,22,3,6
"dolnośląskie","legnicki","gm. Prochowice","020907",6012,5206,2618,2589,0,2,5,5,0,0,0,0,5,2594,5,0,2594,28,2566,2566,15,878,41,902,82,9,547,47,36,6,3
"dolnośląskie","lubański","m. Lubań","021001",17861,15612,7629,7983,1,39,3,3,0,0,0,0,3,7986,3,0,7986,45,7941,7941,18,2229,60,3338,192,35,1667,260,106,12,24
"dolnośląskie","lubański","gm. Platerówka","021006",1308,1104,499,605,1,1,0,0,0,0,0,0,0,605,0,0,605,7,598,598,2,252,4,184,21,4,106,18,6,0,1
"dolnośląskie","lubański","gm. Siekierczyn","021007",4061,3603,1815,1788,1,3,0,0,0,0,0,0,0,1788,0,0,1788,10,1778,1778,9,599,22,656,44,4,347,64,26,1,6
"dolnośląskie","lubański","m. Świeradów-Zdrój","021002",3700,3054,1416,1638,1,118,0,0,0,0,0,0,0,1638,0,0,1638,15,1623,1623,6,452,15,674,57,13,330,36,30,3,7
"dolnośląskie","lubański","gm. Lubań","021004",5218,4502,2330,2172,1,5,1,1,0,0,0,0,1,2173,1,0,2173,18,2155,2155,7,666,22,816,36,9,502,72,15,3,7
"dolnośląskie","lubański","gm. Olszyna","021005",5337,4610,2555,2055,0,23,4,4,0,0,0,0,4,2059,4,0,2059,22,2037,2037,9,556,24,838,67,10,432,70,20,1,10
"dolnośląskie","lubański","gm. Leśna","021003",8153,7004,3655,3349,0,22,0,0,0,0,0,0,0,3349,0,0,3349,33,3316,3316,41,903,30,1412,86,12,695,97,29,3,8
"dolnośląskie","lubiński","gm. Lubin","021102",11600,9910,3933,5977,1,13,0,0,0,0,0,0,0,5977,0,1,5976,28,5948,5948,27,2182,35,1636,154,28,1643,130,81,4,28
"dolnośląskie","lubiński","m. Lubin","021101",58602,50539,19618,30920,7,121,10,10,4,0,0,0,6,30919,6,0,30919,134,30785,30785,194,11042,195,8810,700,91,8446,791,374,36,106
"dolnośląskie","lubiński","gm. Rudna","021103",6140,5204,2217,2987,1,10,0,0,0,0,0,0,0,2987,0,0,2987,28,2959,2959,9,1248,33,718,60,8,794,60,23,0,6
"dolnośląskie","lubiński","gm. Ścinawa","021104",8146,7110,3235,3875,3,22,6,6,0,0,0,0,6,3881,6,0,3881,28,3853,3853,22,1828,29,918,91,33,808,73,31,3,17
"dolnośląskie","lwówecki","gm. Wleń","021205",3628,3230,1665,1565,3,23,0,0,0,0,0,0,0,1565,0,0,1565,16,1549,1549,22,457,33,578,36,7,334,54,23,2,3
"dolnośląskie","lwówecki","gm. Lwówek Śląski","021203",14232,12219,6523,5696,1,52,6,6,1,0,0,0,5,5701,5,0,5701,31,5670,5670,41,1637,69,2255,179,15,1241,138,67,2,26
"dolnośląskie","lwówecki","gm. Lubomierz","021202",4865,4307,2411,1896,0,12,1,1,0,0,0,0,1,1897,1,0,1897,20,1877,1877,10,560,35,719,31,11,434,51,17,2,7
"dolnośląskie","lwówecki","gm. Gryfów Śląski","021201",8119,7077,3848,3229,2,28,0,0,0,0,0,0,0,3227,0,0,3227,25,3202,3202,18,985,45,1141,84,4,779,89,47,1,9
"dolnośląskie","lwówecki","gm. Mirsk","021204",7091,6285,3487,2798,1,17,0,0,0,0,0,0,0,2798,0,0,2798,25,2773,2773,15,903,42,939,83,20,655,73,30,6,7
"dolnośląskie","milicki","gm. Krośnice","021302",6380,5549,2866,2683,0,13,4,4,0,0,0,0,4,2686,4,0,2686,13,2673,2673,10,1146,46,885,63,8,399,73,27,4,12
"dolnośląskie","milicki","gm. Milicz","021303",19450,16942,8470,8472,5,43,0,0,0,0,0,0,0,8472,0,0,8472,86,8386,8386,49,2974,109,3160,168,42,1499,247,102,9,27
"dolnośląskie","milicki","gm. Cieszków","021301",3760,3113,1499,1614,2,10,0,0,0,0,0,0,0,1613,0,0,1613,24,1589,1589,13,616,44,521,39,6,270,60,10,1,9
"dolnośląskie","oleśnicki","gm. Bierutów","021402",8126,6908,3607,3301,6,14,0,0,0,0,0,0,0,3301,0,0,3301,106,3195,3195,23,1063,46,1134,124,15,652,92,36,2,8
"dolnośląskie","oleśnicki","gm. Oleśnica","021406",9972,8510,4519,3991,0,10,2,2,0,0,0,0,2,3993,2,0,3993,32,3961,3961,45,1342,54,1419,95,17,834,90,53,1,11
"dolnośląskie","oleśnicki","gm. Dziadowa Kłoda","021404",3629,3104,1758,1346,0,2,0,0,0,0,0,0,0,1346,0,0,1346,11,1335,1335,17,324,33,668,42,7,188,32,12,2,10
"dolnośląskie","oleśnicki","gm. Syców","021407",13346,11331,5242,6089,1,32,0,0,0,0,0,0,0,6089,0,0,6089,29,6060,6060,28,1559,68,2625,224,24,1248,147,101,9,27
"dolnośląskie","oleśnicki","gm. Twardogóra","021408",10495,8910,4412,4498,2,20,4,1,1,0,0,0,0,4498,0,0,4498,34,4464,4464,30,1358,30,1752,123,14,930,147,58,2,20
"dolnośląskie","oleśnicki","m. Oleśnica","021401",30273,26093,11106,14987,4,61,4,4,0,0,0,0,4,14990,4,0,14990,117,14873,14873,143,4217,100,6032,506,60,3177,334,204,34,66
"dolnośląskie","oleśnicki","gm. Dobroszyce","021403",5166,4387,2159,2228,0,3,0,0,0,0,0,0,0,2228,0,0,2228,27,2201,2201,12,774,26,721,90,4,514,34,13,5,8
"dolnośląskie","oleśnicki","gm. Międzybórz","021405",3982,3402,1832,1570,1,9,1,1,0,0,0,0,1,1571,1,0,1571,8,1563,1563,9,358,18,713,46,12,346,35,14,1,11
"dolnośląskie","oławski","gm. Oława","021504",11723,10132,4399,5733,5,17,6,6,0,0,0,0,6,5727,6,1,5726,60,5666,5666,50,2004,60,1715,176,27,1454,97,57,7,19
"dolnośląskie","oławski","gm. Domaniów","021502",4199,3690,1841,1849,0,14,0,0,0,0,0,0,0,1849,0,0,1849,12,1837,1837,6,680,29,549,57,3,457,33,16,4,3
"dolnośląskie","oławski","gm. Jelcz-Laskowice","021503",18088,15344,6454,8890,3,25,2,2,0,0,0,0,2,8891,2,0,8891,65,8826,8826,87,3171,75,2802,309,35,2014,169,98,16,50
"dolnośląskie","oławski","m. Oława","021501",25674,22072,8684,13385,3,68,14,13,0,0,0,0,13,13398,13,0,13398,102,13296,13296,110,3994,100,4992,343,63,3149,293,173,25,54
"dolnośląskie","polkowicki","gm. Grębocice","021603",4183,3610,1786,1824,0,8,3,3,0,0,0,0,3,1826,3,0,1826,17,1809,1809,4,779,32,502,45,7,376,40,18,2,4
"dolnośląskie","polkowicki","gm. Radwanice","021606",3724,3200,1443,1757,0,8,0,0,0,0,0,0,0,1756,0,0,1756,4,1752,1752,5,662,18,478,57,15,442,53,15,0,7
"dolnośląskie","polkowicki","gm. Przemków","021605",6986,6108,3095,3013,3,7,0,0,0,0,0,0,0,3013,0,0,3013,22,2991,2991,8,1229,22,921,104,10,569,92,21,2,13
"dolnośląskie","polkowicki","gm. Polkowice","021604",20855,17822,7244,10580,1,43,1,1,0,0,0,0,1,10580,1,1,10579,71,10508,10508,62,4209,65,2770,301,67,2626,244,113,15,36
"dolnośląskie","polkowicki","gm. Chocianów","021601",10282,8856,3584,5272,1,25,5,5,0,0,0,0,5,5277,5,1,5276,24,5252,5252,38,2479,40,1142,157,41,1199,94,29,8,25
"dolnośląskie","polkowicki","gm. Gaworzyce","021602",3102,2603,1075,1528,3,6,0,0,0,0,0,0,0,1528,0,0,1528,6,1522,1522,8,680,25,388,21,1,337,41,18,0,3
"dolnośląskie","strzeliński","gm. Kondratowice","021702",3708,3201,1728,1473,2,4,1,0,0,0,0,0,0,1473,0,0,1473,18,1455,1455,9,564,15,474,25,4,307,36,15,3,3
"dolnośląskie","strzeliński","gm. Wiązów","021705",5949,5104,2502,2602,1,6,0,0,0,0,0,0,0,2602,0,0,2602,30,2572,2572,12,1133,39,641,65,12,571,71,21,5,2
"dolnośląskie","strzeliński","gm. Strzelin","021704",18382,15925,7549,8376,5,59,1,1,0,0,0,0,1,8376,1,0,8376,69,8307,8307,47,2646,108,3135,200,45,1717,236,132,14,27
"dolnośląskie","strzeliński","gm. Przeworno","021703",4089,3407,1775,1632,0,1,0,0,0,0,0,0,0,1632,0,0,1632,17,1615,1615,1,574,16,523,41,11,406,27,10,1,5
"dolnośląskie","strzeliński","gm. Borów","021701",4335,3775,1766,2009,0,5,1,1,0,0,0,0,1,2010,1,0,2010,14,1996,1996,8,845,38,555,55,6,412,40,25,4,8
"dolnośląskie","średzki ","gm. Kostomłoty","021801",5741,5001,2644,2357,1,10,0,0,0,0,0,0,0,2356,0,0,2356,31,2325,2325,22,923,39,711,72,9,453,51,31,5,9
"dolnośląskie","średzki ","gm. Miękinia","021803",11102,9420,4245,5175,3,21,7,7,0,0,0,0,7,5182,7,0,5182,52,5130,5130,59,1454,48,1849,211,17,1268,111,72,9,32
"dolnośląskie","średzki ","gm. Udanin","021805",4459,3806,1986,1820,1,8,0,0,0,0,0,0,0,1820,0,0,1820,9,1811,1811,9,728,34,600,34,7,347,37,10,1,4
"dolnośląskie","średzki ","gm. Malczyce","021802",4784,4099,2034,2065,2,5,2,2,0,0,0,0,2,2067,2,0,2067,20,2047,2047,20,680,18,642,71,5,543,43,15,2,8
"dolnośląskie","średzki ","gm. Środa Śląska","021804",15694,13438,6535,6901,5,23,4,4,2,0,0,0,2,6905,2,2,6903,56,6847,6847,59,2133,75,2524,199,22,1557,151,83,13,31
"dolnośląskie","świdnicki ","gm. Żarów","021908",10063,8732,4425,4307,4,7,0,0,0,0,0,0,0,4306,0,0,4306,28,4278,4278,38,1319,39,1607,187,23,912,88,35,8,22
"dolnośląskie","świdnicki ","gm. Marcinowice","021905",5179,4604,2227,2377,1,7,0,0,0,0,0,0,0,2377,0,0,2377,15,2362,2362,18,900,30,748,100,10,472,55,16,5,8
"dolnośląskie","świdnicki ","gm. Strzegom","021906",21510,18516,8920,9596,4,33,4,4,0,0,0,0,4,9600,4,0,9600,63,9537,9537,78,3072,72,3600,419,51,1909,203,102,8,23
"dolnośląskie","świdnicki ","gm. Jaworzyna Śląska","021904",8319,7225,3807,3420,1,5,1,1,0,0,0,0,1,3421,1,0,3421,26,3395,3395,22,1170,26,1078,125,15,833,60,57,3,6
"dolnośląskie","świdnicki ","gm. Świdnica","021907",13400,11325,5368,5957,0,16,3,2,0,0,0,0,2,5958,2,2,5956,51,5905,5905,43,1758,69,2234,178,28,1334,140,95,4,22
"dolnośląskie","świdnicki ","m. Świdnica","021901",47414,41056,17701,23355,5,86,15,14,0,0,0,0,14,23362,14,0,23362,173,23189,23189,151,6172,170,9661,852,106,4904,609,413,57,94
"dolnośląskie","świdnicki ","gm. Dobromierz","021903",4310,3757,1899,1858,0,2,0,0,0,0,0,0,0,1859,0,1,1858,15,1843,1843,13,701,23,625,36,6,374,38,15,3,9
"dolnośląskie","świdnicki ","m. Świebodzice","021902",18484,15729,7281,8447,24,16,4,3,0,0,0,0,3,8449,3,0,8449,65,8384,8384,39,2455,59,3244,266,29,1885,215,133,20,39
"dolnośląskie","trzebnicki","gm. Oborniki Śląskie","022001",15689,13697,5717,7980,2,80,16,15,0,0,0,0,15,7993,15,1,7992,74,7918,7918,82,2343,56,3151,233,46,1653,164,140,12,38
"dolnośląskie","trzebnicki","gm. Zawonia","022005",4651,3926,2091,1835,0,14,0,0,0,0,0,0,0,1835,0,0,1835,26,1809,1809,13,582,32,673,75,12,336,50,27,0,9
"dolnośląskie","trzebnicki","gm. Wisznia Mała","022004",7720,6610,2771,3839,1,32,1,1,0,0,0,0,1,3840,1,0,3840,24,3816,3816,36,1361,19,1379,111,17,726,61,75,13,18
"dolnośląskie","trzebnicki","gm. Żmigród","022006",11859,10070,5328,4742,0,15,0,0,0,0,0,0,0,4742,0,0,4742,38,4704,4704,22,1407,105,1783,150,12,1023,115,64,8,15
"dolnośląskie","trzebnicki","gm. Trzebnica","022003",18358,15778,6989,8789,2,33,3,3,0,0,0,0,3,8791,3,0,8791,57,8734,8734,95,2971,81,3090,346,51,1744,189,106,14,47
"dolnośląskie","trzebnicki","gm. Prusice","022002",7495,6507,3403,3104,0,13,1,1,0,0,0,0,1,3105,1,0,3105,24,3081,3081,31,1230,41,958,65,24,638,60,24,3,7
"dolnośląskie","wałbrzyski","m. Szczawno-Zdrój","022103",4935,4203,1662,2541,2,188,2,2,0,0,0,0,2,2543,2,0,2543,17,2526,2526,15,572,26,1179,66,9,519,64,64,2,10
"dolnośląskie","wałbrzyski","gm. Głuszyca","022105",7243,6203,3248,2955,1,11,0,0,0,0,0,0,0,2954,0,0,2954,21,2933,2933,20,767,32,1267,106,12,625,44,48,1,11
"dolnośląskie","wałbrzyski","m. Boguszów-Gorce","022101",12752,11114,6085,5029,3,9,3,1,0,0,0,0,1,5030,1,0,5030,45,4985,4985,36,1183,43,2122,156,26,1146,144,103,5,21
"dolnośląskie","wałbrzyski","m. Jedlina-Zdrój","022102",3924,3410,1685,1725,0,7,4,4,0,0,0,0,4,1729,4,0,1729,19,1710,1710,5,432,15,728,67,4,374,55,26,0,4
"dolnośląskie","wałbrzyski","gm. Stare Bogaczowice","022107",3406,2901,1330,1571,1,8,0,0,0,0,0,0,0,1571,0,0,1571,14,1557,1557,1,451,15,603,47,6,363,33,29,2,7
"dolnośląskie","wałbrzyski","gm. Mieroszów","022106",5661,5008,2809,2199,0,14,0,0,0,0,0,0,0,2199,0,0,2199,26,2173,2173,19,537,23,950,86,10,443,59,37,4,5
"dolnośląskie","wałbrzyski","gm. Walim","022108",4648,4002,2118,1884,0,31,2,2,0,0,0,0,2,1886,2,0,1886,17,1869,1869,17,544,23,752,64,6,366,47,38,4,8
"dolnośląskie","wałbrzyski","gm. Czarny Bór","022104",3900,3302,1409,1893,0,3,0,0,0,0,0,0,0,1893,0,0,1893,26,1867,1867,10,664,29,631,58,6,384,54,20,3,8
"dolnośląskie","wołowski","gm. Brzeg Dolny","022201",13064,11054,4935,6119,2,14,4,4,0,0,0,0,4,6123,4,0,6123,67,6056,6056,50,1743,47,2495,168,22,1275,137,94,11,14
