"Województwo","Powiat","Gmina","Teryt","Typ.gminy","typ_gminy","L.obwodów","Uprawnieni.do.głosowania","Wydane.karty.do.głosowania","Głosy.oddane","Głosy.ważne","Jarosław.Aleksander.KACZYŃSKI","Bronisław.Maria.KOMOROWSKI"
"dolnośląskie","bolesławiecki","Bolesławiec","020101"," m.","miejska",18,32799,17529,17524,17356,6083,11273
"dolnośląskie","bolesławiecki","Bolesławiec","020102"," gm.","wiejska",9,10377,5108,5108,5051,2146,2905
"dolnośląskie","bolesławiecki","Gromadka","020103"," gm.","wiejska",4,4386,2096,2094,2071,1021,1050
"dolnośląskie","bolesławiecki","Nowogrodziec","020104"," gm.","miejsko-wiejska",12,11764,4995,4995,4939,2247,2692
"dolnośląskie","bolesławiecki","Osiecznica","020105"," gm.","wiejska",7,5244,2305,2305,2281,822,1459
"dolnośląskie","bolesławiecki","Warta Bolesławiecka","020106"," gm.","wiejska",4,6436,2831,2831,2802,1227,1575
"dolnośląskie","dzierżoniowski","Bielawa","020201"," m.","miejska",15,26251,12386,12384,12218,4522,7696
"dolnośląskie","dzierżoniowski","Dzierżoniów","020202"," m.","miejska",21,28763,15107,15102,14946,5429,9517
"dolnośląskie","dzierżoniowski","Pieszyce","020203"," m.","miejska",8,7744,3556,3555,3506,1519,1987
"dolnośląskie","dzierżoniowski","Piława Górna","020204"," m.","miejska",3,5342,2457,2457,2430,1098,1332
"dolnośląskie","dzierżoniowski","Dzierżoniów","020205"," gm.","wiejska",13,7738,3764,3764,3731,1806,1925
"dolnośląskie","dzierżoniowski","Łagiewniki","020206"," gm.","wiejska",6,6153,2779,2779,2748,1400,1348
"dolnośląskie","dzierżoniowski","Niemcza","020207"," gm.","miejsko-wiejska",6,4908,2304,2304,2291,932,1359
"dolnośląskie","głogowski","Głogów","020301"," m.","miejska",37,55295,29850,29841,29446,14162,15284
"dolnośląskie","głogowski","Głogów","020302"," gm.","wiejska",4,4595,2351,2351,2329,1272,1057
"dolnośląskie","głogowski","Jerzmanowa","020303"," gm.","wiejska",4,2875,1565,1565,1547,871,676
"dolnośląskie","głogowski","Kotla","020304"," gm.","wiejska",5,3246,1415,1415,1393,805,588
"dolnośląskie","głogowski","Pęcław","020305"," gm.","wiejska",2,1785,896,896,874,513,361
"dolnośląskie","głogowski","Żukowice","020306"," gm.","wiejska",2,2737,1187,1187,1172,630,542
"dolnośląskie","górowski","Góra","020401"," gm.","miejsko-wiejska",15,16464,7343,7342,7282,3016,4266
"dolnośląskie","górowski","Jemielno","020402"," gm.","wiejska",3,2482,1062,1062,1050,536,514
"dolnośląskie","górowski","Niechlów","020403"," gm.","wiejska",4,3988,1691,1691,1675,880,795
"dolnośląskie","górowski","Wąsosz","020404"," gm.","miejsko-wiejska",5,5888,2393,2393,2360,1107,1253
"dolnośląskie","jaworski","Jawor","020501"," m.","miejska",14,19975,10225,10224,10125,4438,5687
"dolnośląskie","jaworski","Bolków","020502"," gm.","miejsko-wiejska",12,8977,4082,4082,4024,1575,2449
"dolnośląskie","jaworski","Męcinka","020503"," gm.","wiejska",4,3801,1659,1658,1649,938,711
"dolnośląskie","jaworski","Mściwojów","020504"," gm.","wiejska",3,3259,1579,1579,1564,752,812
"dolnośląskie","jaworski","Paszowice","020505"," gm.","wiejska",2,3111,1374,1374,1353,709,644
"dolnośląskie","jaworski","Wądroże Wielkie","020506"," gm.","wiejska",3,3213,1313,1313,1307,630,677
"dolnośląskie","jeleniogórski","Karpacz","020601"," m.","miejska",4,5543,3575,3571,3537,970,2567
"dolnośląskie","jeleniogórski","Kowary","020602"," m.","miejska",11,9684,4950,4948,4896,1475,3421
"dolnośląskie","jeleniogórski","Piechowice","020603"," m.","miejska",4,5417,2882,2881,2852,954,1898
"dolnośląskie","jeleniogórski","Szklarska Poręba","020604"," m.","miejska",6,6942,4056,4056,4019,1185,2834
"dolnośląskie","jeleniogórski","Janowice Wielkie","020605"," gm.","wiejska",6,3591,1741,1741,1725,534,1191
"dolnośląskie","jeleniogórski","Jeżów Sudecki","020606"," gm.","wiejska",4,5250,2596,2595,2571,829,1742
"dolnośląskie","jeleniogórski","Mysłakowice","020607"," gm.","wiejska",7,8119,4005,4003,3957,1369,2588
"dolnośląskie","jeleniogórski","Podgórzyn","020608"," gm.","wiejska",7,6739,3561,3561,3525,1085,2440
"dolnośląskie","jeleniogórski","Stara Kamienica","020609"," gm.","wiejska",4,4233,1952,1952,1928,659,1269
"dolnośląskie","kamiennogórski","Kamienna Góra","020701"," m.","miejska",14,17260,8757,8756,8655,3139,5516
"dolnośląskie","kamiennogórski","Kamienna Góra","020702"," gm.","wiejska",8,6893,3447,3447,3395,1347,2048
"dolnośląskie","kamiennogórski","Lubawka","020703"," gm.","miejsko-wiejska",7,9331,4634,4632,4537,1552,2985
"dolnośląskie","kamiennogórski","Marciszów","020704"," gm.","wiejska",7,3729,1701,1701,1681,664,1017
"dolnośląskie","kłodzki","Duszniki-Zdrój","020801"," m.","miejska",3,4671,2550,2550,2524,951,1573
"dolnośląskie","kłodzki","Kłodzko","020802"," m.","miejska",19,23749,12314,12313,12178,4380,7798
"dolnośląskie","kłodzki","Kudowa-Zdrój","020803"," m.","miejska",7,9483,5392,5389,5338,2175,3163
"dolnośląskie","kłodzki","Nowa Ruda","020804"," m.","miejska",14,19901,9448,9446,9369,3082,6287
"dolnośląskie","kłodzki","Polanica-Zdrój","020805"," m.","miejska",4,6540,3633,3631,3594,1311,2283
"dolnośląskie","kłodzki","Bystrzyca Kłodzka","020806"," gm.","miejsko-wiejska",17,16510,8226,8218,8130,3421,4709
"dolnośląskie","kłodzki","Kłodzko","020807"," gm.","wiejska",14,13838,6325,6325,6243,2789,3454
"dolnośląskie","kłodzki","Lądek-Zdrój","020808"," gm.","miejsko-wiejska",6,7964,4199,4198,4150,1632,2518
"dolnośląskie","kłodzki","Lewin Kłodzki","020809"," gm.","wiejska",2,1659,754,754,752,376,376
"dolnośląskie","kłodzki","Międzylesie","020810"," gm.","miejsko-wiejska",9,6221,2970,2970,2936,981,1955
"dolnośląskie","kłodzki","Nowa Ruda","020811"," gm.","wiejska",13,10086,4539,4539,4498,1663,2835
"dolnośląskie","kłodzki","Radków","020812"," gm.","miejsko-wiejska",8,7894,3685,3685,3656,1567,2089
"dolnośląskie","kłodzki","Stronie Śląskie","020813"," gm.","miejsko-wiejska",4,6289,2918,2918,2878,935,1943
"dolnośląskie","kłodzki","Szczytna","020814"," gm.","miejsko-wiejska",6,6071,2756,2756,2735,963,1772
"dolnośląskie","legnicki","Chojnów","020901"," m.","miejska",7,11580,5555,5554,5485,2325,3160
"dolnośląskie","legnicki","Chojnów","020902"," gm.","wiejska",7,7437,3217,3217,3189,1630,1559
"dolnośląskie","legnicki","Krotoszyce","020903"," gm.","wiejska",3,2427,1205,1205,1191,652,539
"dolnośląskie","legnicki","Kunice","020904"," gm.","wiejska",5,4433,2373,2373,2344,971,1373
"dolnośląskie","legnicki","Legnickie Pole","020905"," gm.","wiejska",6,3788,1870,1870,1835,910,925
"dolnośląskie","legnicki","Miłkowice","020906"," gm.","wiejska",8,4970,2602,2602,2571,1181,1390
"dolnośląskie","legnicki","Prochowice","020907"," gm.","miejsko-wiejska",6,5919,2816,2816,2774,1211,1563
"dolnośląskie","legnicki","Ruja","020908"," gm.","wiejska",3,2142,943,942,923,433,490
"dolnośląskie","lubański","Lubań","021001"," m.","miejska",15,18382,9361,9360,9255,3254,6001
"dolnośląskie","lubański","Świeradów-Zdrój","021002"," m.","miejska",5,4155,2179,2179,2153,767,1386
"dolnośląskie","lubański","Leśna","021003"," gm.","miejsko-wiejska",8,8433,3881,3881,3844,1537,2307
"dolnośląskie","lubański","Lubań","021004"," gm.","wiejska",7,5064,2240,2240,2210,884,1326
"dolnośląskie","lubański","Olszyna","021005"," gm.","miejsko-wiejska",4,5365,2349,2349,2319,869,1450
"dolnośląskie","lubański","Platerówka","021006"," gm.","wiejska",1,1298,633,633,623,324,299
"dolnośląskie","lubański","Siekierczyn","021007"," gm.","wiejska",4,4071,2013,2013,1986,791,1195
"dolnośląskie","lubiński","Lubin","021101"," m.","miejska",51,60774,32856,32848,32520,17499,15021
"dolnośląskie","lubiński","Lubin","021102"," gm.","wiejska",10,9950,5186,5186,5117,2752,2365
"dolnośląskie","lubiński","Rudna","021103"," gm.","wiejska",5,5816,2909,2909,2879,1834,1045
"dolnośląskie","lubiński","Ścinawa","021104"," gm.","miejsko-wiejska",7,8327,4162,4162,4112,2568,1544
"dolnośląskie","lwówecki","Gryfów Śląski","021201"," gm.","miejsko-wiejska",7,8266,3792,3792,3739,1432,2307
"dolnośląskie","lwówecki","Lubomierz","021202"," gm.","miejsko-wiejska",6,4978,2182,2182,2148,843,1305
"dolnośląskie","lwówecki","Lwówek Śląski","021203"," gm.","miejsko-wiejska",13,14298,6873,6873,6807,2495,4312
"dolnośląskie","lwówecki","Mirsk","021204"," gm.","miejsko-wiejska",6,7288,3195,3195,3147,1363,1784
"dolnośląskie","lwówecki","Wleń","021205"," gm.","miejsko-wiejska",6,3705,1801,1801,1779,697,1082
"dolnośląskie","milicki","Cieszków","021301"," gm.","wiejska",3,3690,1648,1648,1630,789,841
"dolnośląskie","milicki","Krośnice","021302"," gm.","wiejska",5,6252,2855,2854,2816,1470,1346
"dolnośląskie","milicki","Milicz","021303"," gm.","miejsko-wiejska",20,19448,9558,9555,9442,4092,5350
"dolnośląskie","oleśnicki","Oleśnica","021401"," m.","miejska",20,29602,16704,16704,16509,6174,10335
"dolnośląskie","oleśnicki","Bierutów","021402"," gm.","miejsko-wiejska",7,8107,3604,3603,3548,1589,1959
"dolnośląskie","oleśnicki","Dobroszyce","021403"," gm.","wiejska",3,4821,2322,2322,2303,1067,1236
"dolnośląskie","oleśnicki","Dziadowa Kłoda","021404"," gm.","wiejska",3,3579,1486,1486,1464,544,920
"dolnośląskie","oleśnicki","Międzybórz","021405"," gm.","miejsko-wiejska",3,3900,1913,1913,1889,595,1294
"dolnośląskie","oleśnicki","Oleśnica","021406"," gm.","wiejska",8,9195,4037,4037,3987,1894,2093
"dolnośląskie","oleśnicki","Syców","021407"," gm.","miejsko-wiejska",10,12957,6595,6595,6535,2325,4210
"dolnośląskie","oleśnicki","Twardogóra","021408"," gm.","miejsko-wiejska",6,10300,4743,4743,4686,1822,2864
"dolnośląskie","oławski","Oława","021501"," m.","miejska",18,25260,14758,14753,14580,5783,8797
"dolnośląskie","oławski","Domaniów","021502"," gm.","wiejska",4,4098,2027,2027,2006,1112,894
"dolnośląskie","oławski","Jelcz-Laskowice","021503"," gm.","miejsko-wiejska",13,17806,9384,9383,9286,4433,4853
"dolnośląskie","oławski","Oława","021504"," gm.","wiejska",10,11197,5916,5916,5850,2953,2897
"dolnośląskie","polkowicki","Chocianów","021601"," gm.","miejsko-wiejska",10,10125,5327,5327,5285,3299,1986
"dolnośląskie","polkowicki","Gaworzyce","021602"," gm.","wiejska",4,2962,1527,1527,1503,894,609
"dolnośląskie","polkowicki","Grębocice","021603"," gm.","wiejska",4,4043,1866,1866,1854,1122,732
"dolnośląskie","polkowicki","Polkowice","021604"," gm.","miejsko-wiejska",15,20127,10560,10560,10442,5907,4535
"dolnośląskie","polkowicki","Przemków","021605"," gm.","miejsko-wiejska",7,7166,3199,3198,3164,1726,1438
"dolnośląskie","polkowicki","Radwanice","021606"," gm.","wiejska",3,3500,1676,1676,1654,914,740
"dolnośląskie","strzeliński","Borów","021701"," gm.","wiejska",3,4208,2224,2224,2202,1283,919
"dolnośląskie","strzeliński","Kondratowice","021702"," gm.","wiejska",5,3734,1750,1750,1730,878,852
"dolnośląskie","strzeliński","Przeworno","021703"," gm.","wiejska",6,4110,1802,1802,1784,938,846
"dolnośląskie","strzeliński","Strzelin","021704"," gm.","miejsko-wiejska",15,18665,9830,9830,9724,3839,5885
"dolnośląskie","strzeliński","Wiązów","021705"," gm.","miejsko-wiejska",5,5944,2866,2866,2842,1679,1163
"dolnośląskie","średzki","Kostomłoty","021801"," gm.","wiejska",4,5653,2483,2483,2464,1325,1139
"dolnośląskie","średzki","Malczyce","021802"," gm.","wiejska",4,4751,2120,2119,2104,955,1149
"dolnośląskie","średzki","Miękinia","021803"," gm.","wiejska",7,9935,5018,5018,4953,2022,2931
"dolnośląskie","średzki","Środa Śląska","021804"," gm.","miejsko-wiejska",9,15256,7398,7397,7315,2943,4372
"dolnośląskie","średzki","Udanin","021805"," gm.","wiejska",4,4503,1980,1979,1960,1030,930
"dolnośląskie","świdnicki","Świdnica","021901"," m.","miejska",31,48779,27034,27032,26723,9623,17100
"dolnośląskie","świdnicki","Świebodzice","021902"," m.","miejska",15,18610,9138,9138,8994,3360,5634
"dolnośląskie","świdnicki","Dobromierz","021903"," gm.","wiejska",3,4405,2033,2033,2003,1122,881
"dolnośląskie","świdnicki","Jaworzyna Śląska","021904"," gm.","miejsko-wiejska",5,8198,3805,3805,3748,1775,1973
"dolnośląskie","świdnicki","Marcinowice","021905"," gm.","wiejska",7,5095,2471,2471,2443,1261,1182
"dolnośląskie","świdnicki","Strzegom","021906"," gm.","miejsko-wiejska",20,21904,10570,10570,10443,4462,5981
"dolnośląskie","świdnicki","Świdnica","021907"," gm.","wiejska",10,12795,6193,6193,6116,2667,3449
"dolnośląskie","świdnicki","Żarów","021908"," gm.","miejsko-wiejska",8,9971,4868,4865,4796,2156,2640
"dolnośląskie","trzebnicki","Oborniki Śląskie","022001"," gm.","miejsko-wiejska",11,14876,8465,8461,8375,3303,5072
"dolnośląskie","trzebnicki","Prusice","022002"," gm.","miejsko-wiejska",5,7201,3211,3201,3162,1719,1443
"dolnośląskie","trzebnicki","Trzebnica","022003"," gm.","miejsko-wiejska",11,17650,9138,9136,9039,3986,5053
"dolnośląskie","trzebnicki","Wisznia Mała","022004"," gm.","wiejska",4,6876,3740,3739,3697,1708,1989
"dolnośląskie","trzebnicki","Zawonia","022005"," gm.","wiejska",3,4432,1936,1936,1915,841,1074
"dolnośląskie","trzebnicki","Żmigród","022006"," gm.","miejsko-wiejska",10,11821,5307,5306,5256,2091,3165
"dolnośląskie","wałbrzyski","Boguszów-Gorce","022101"," m.","miejska",9,13294,6243,6243,6168,1845,4323
"dolnośląskie","wałbrzyski","Jedlina-Zdrój","022102"," m.","miejska",5,4121,1990,1990,1962,639,1323
"dolnośląskie","wałbrzyski","Szczawno-Zdrój","022103"," m.","miejska",3,4853,3062,3060,3033,889,2144
"dolnośląskie","wałbrzyski","Czarny Bór","022104"," gm.","wiejska",5,3822,1886,1885,1864,748,1116
"dolnośląskie","wałbrzyski","Głuszyca","022105"," gm.","miejsko-wiejska",6,7469,3382,3381,3353,1150,2203
"dolnośląskie","wałbrzyski","Mieroszów","022106"," gm.","miejsko-wiejska",8,6076,2582,2582,2541,815,1726
"dolnośląskie","wałbrzyski","Stare Bogaczowice","022107"," gm.","wiejska",6,3354,1612,1612,1592,604,988
"dolnośląskie","wałbrzyski","Walim","022108"," gm.","wiejska",4,4821,2124,2124,2105,786,1319
"dolnośląskie","wałbrzyski","Wałbrzych","022109"," m.","miejska",71,97885,47838,47826,47122,15060,32062
"dolnośląskie","wołowski","Brzeg Dolny","022201"," gm.","miejsko-wiejska",11,13074,6730,6730,6646,2437,4209
"dolnośląskie","wołowski","Wińsko","022202"," gm.","wiejska",7,6976,3196,3196,3163,1863,1300
"dolnośląskie","wołowski","Wołów","022203"," gm.","miejsko-wiejska",16,19722,10264,10264,10149,4209,5940
"dolnośląskie","wrocławski","Czernica","022301"," gm.","wiejska",6,8016,4877,4877,4830,2017,2813
"dolnośląskie","wrocławski","Długołęka","022302"," gm.","wiejska",14,17066,9690,9689,9616,4607,5009
"dolnośląskie","wrocławski","Jordanów Śląski","022303"," gm.","wiejska",2,2487,1240,1240,1234,660,574
"dolnośląskie","wrocławski","Kąty Wrocławskie","022304"," gm.","miejsko-wiejska",9,15361,8183,8179,8094,3381,4713
"dolnośląskie","wrocławski","Kobierzyce","022305"," gm.","wiejska",10,11923,6556,6556,6517,2520,3997
"dolnośląskie","wrocławski","Mietków","022306"," gm.","wiejska",4,3124,1552,1551,1528,661,867
"dolnośląskie","wrocławski","Sobótka","022307"," gm.","miejsko-wiejska",6,10117,5113,5112,5065,2180,2885
"dolnośląskie","wrocławski","Siechnice","022308"," gm.","miejsko-wiejska",10,12011,7200,7197,7134,2999,4135
"dolnośląskie","wrocławski","Żórawina","022309"," gm.","wiejska",6,6867,3436,3436,3400,1548,1852
"dolnośląskie","ząbkowicki","Bardo","022401"," gm.","miejsko-wiejska",4,4604,2228,2228,2189,931,1258
"dolnośląskie","ząbkowicki","Ciepłowody","022402"," gm.","wiejska",2,2550,1074,1074,1058,505,553
"dolnośląskie","ząbkowicki","Kamieniec Ząbkowicki","022403"," gm.","wiejska",10,7041,3337,3337,3290,1389,1901
"dolnośląskie","ząbkowicki","Stoszowice","022404"," gm.","wiejska",6,4607,2101,2101,2070,908,1162
"dolnośląskie","ząbkowicki","Ząbkowice Śląskie","022405"," gm.","miejsko-wiejska",16,18623,9512,9509,9400,3820,5580
"dolnośląskie","ząbkowicki","Ziębice","022406"," gm.","miejsko-wiejska",21,14778,6668,6668,6607,3031,3576
"dolnośląskie","ząbkowicki","Złoty Stok","022407"," gm.","miejsko-wiejska",7,3979,1891,1891,1868,787,1081
"dolnośląskie","zgorzelecki","Zawidów","022501"," m.","miejska",2,3499,1776,1776,1754,745,1009
"dolnośląskie","zgorzelecki","Zgorzelec","022502"," m.","miejska",18,26754,14678,14674,14502,5374,9128
"dolnośląskie","zgorzelecki","Bogatynia","022503"," gm.","miejsko-wiejska",21,19696,9756,9754,9597,4365,5232
"dolnośląskie","zgorzelecki","Pieńsk","022504"," gm.","miejsko-wiejska",8,7358,3174,3174,3128,1128,2000
"dolnośląskie","zgorzelecki","Sulików","022505"," gm.","wiejska",4,4812,2194,2194,2168,1106,1062
"dolnośląskie","zgorzelecki","Węgliniec","022506"," gm.","miejsko-wiejska",7,7124,3270,3270,3229,1077,2152
"dolnośląskie","zgorzelecki","Zgorzelec","022507"," gm.","wiejska",10,6424,2949,2951,2919,1204,1715
"dolnośląskie","złotoryjski","Wojcieszów","022601"," m.","miejska",3,3105,1313,1313,1289,428,861
"dolnośląskie","złotoryjski","Złotoryja","022602"," m.","miejska",9,13522,6981,6979,6907,2613,4294
"dolnośląskie","złotoryjski","Pielgrzymka","022603"," gm.","wiejska",7,3688,1731,1731,1721,816,905
"dolnośląskie","złotoryjski","Świerzawa","022604"," gm.","miejsko-wiejska",9,6321,2746,2746,2719,1080,1639
"dolnośląskie","złotoryjski","Zagrodno","022605"," gm.","wiejska",5,4486,2030,2030,2002,1174,828
"dolnośląskie","złotoryjski","Złotoryja","022606"," gm.","wiejska",5,5584,2599,2599,2573,1237,1336
"dolnośląskie","Jelenia Góra","Jelenia Góra","026101"," m.","miejska",46,68974,38642,38647,38137,12499,25638
"dolnośląskie","Legnica","Legnica","026201"," m.","miejska",49,80863,43172,43159,42723,17257,25466
"dolnośląskie","Wrocław","Wrocław","026401"," m.","miejska",298,499152,306750,306640,303098,107396,195702
"kujawsko-pomorskie","aleksandrowski","Aleksandrów Kujawski","040101"," m.","miejska",7,10081,5063,5063,5009,1896,3113
"kujawsko-pomorskie","aleksandrowski","Ciechocinek","040102"," m.","miejska",7,11122,7489,7488,7398,2847,4551
"kujawsko-pomorskie","aleksandrowski","Nieszawa","040103"," m.","miejska",1,1649,949,949,920,364,556
"kujawsko-pomorskie","aleksandrowski","Aleksandrów Kujawski","040104"," gm.","wiejska",7,8586,3765,3764,3723,1903,1820
"kujawsko-pomorskie","aleksandrowski","Bądkowo","040105"," gm.","wiejska",4,3645,1616,1614,1587,908,679
"kujawsko-pomorskie","aleksandrowski","Koneck","040106"," gm.","wiejska",4,2697,1206,1206,1197,714,483
"kujawsko-pomorskie","aleksandrowski","Raciążek","040107"," gm.","wiejska",3,2465,1231,1231,1217,565,652
"kujawsko-pomorskie","aleksandrowski","Waganiec","040108"," gm.","wiejska",6,3528,1635,1635,1608,982,626
"kujawsko-pomorskie","aleksandrowski","Zakrzewo","040109"," gm.","wiejska",4,2977,1333,1333,1317,682,635
"kujawsko-pomorskie","brodnicki","Brodnica","040201"," m.","miejska",16,21584,11822,11820,11650,4693,6957
"kujawsko-pomorskie","brodnicki","Bobrowo","040202"," gm.","wiejska",5,5038,2234,2233,2213,1180,1033
"kujawsko-pomorskie","brodnicki","Brodnica","040203"," gm.","wiejska",6,5498,2519,2519,2493,1195,1298
"kujawsko-pomorskie","brodnicki","Brzozie","040204"," gm.","wiejska",3,2907,1488,1488,1466,847,619
"kujawsko-pomorskie","brodnicki","Górzno","040205"," gm.","miejsko-wiejska",4,3238,1560,1560,1532,897,635
"kujawsko-pomorskie","brodnicki","Bartniczka","040206"," gm.","wiejska",3,3647,1751,1750,1724,983,741
"kujawsko-pomorskie","brodnicki","Jabłonowo Pomorskie","040207"," gm.","miejsko-wiejska",6,7170,3308,3308,3256,1641,1615
"kujawsko-pomorskie","brodnicki","Osiek","040208"," gm.","wiejska",2,3211,1425,1425,1405,856,549
"kujawsko-pomorskie","brodnicki","Świedziebnia","040209"," gm.","wiejska",4,4001,1808,1808,1784,1183,601
"kujawsko-pomorskie","brodnicki","Zbiczno","040210"," gm.","wiejska",4,4068,2179,2178,2159,824,1335
"kujawsko-pomorskie","bydgoski","Białe Błota","040301"," gm.","wiejska",9,12247,7017,7016,6946,2338,4608
"kujawsko-pomorskie","bydgoski","Dąbrowa Chełmińska","040302"," gm.","wiejska",7,5816,2662,2662,2634,965,1669
"kujawsko-pomorskie","bydgoski","Dobrcz","040303"," gm.","wiejska",6,7695,3753,3753,3708,1428,2280
"kujawsko-pomorskie","bydgoski","Koronowo","040304"," gm.","miejsko-wiejska",19,19583,9487,9485,9368,3270,6098
"kujawsko-pomorskie","bydgoski","Nowa Wieś Wielka","040305"," gm.","wiejska",4,6780,3209,3208,3168,1112,2056
"kujawsko-pomorskie","bydgoski","Osielsko","040306"," gm.","wiejska",8,7936,4938,4938,4881,1463,3418
"kujawsko-pomorskie","bydgoski","Sicienko","040307"," gm.","wiejska",7,7356,3794,3794,3756,1312,2444
"kujawsko-pomorskie","bydgoski","Solec Kujawski","040308"," gm.","miejsko-wiejska",10,12531,6686,6685,6597,2234,4363
"kujawsko-pomorskie","chełmiński","Chełmno","040401"," m.","miejska",17,16019,7944,7944,7846,2616,5230
"kujawsko-pomorskie","chełmiński","Chełmno","040402"," gm.","wiejska",4,4066,1499,1499,1476,610,866
"kujawsko-pomorskie","chełmiński","Kijewo Królewskie","040403"," gm.","wiejska",4,3416,1533,1533,1501,730,771
"kujawsko-pomorskie","chełmiński","Lisewo","040404"," gm.","wiejska",4,4031,1585,1584,1570,664,906
"kujawsko-pomorskie","chełmiński","Papowo Biskupie","040405"," gm.","wiejska",5,3423,1352,1352,1330,566,764
"kujawsko-pomorskie","chełmiński","Stolno","040406"," gm.","wiejska",3,3960,1542,1542,1521,685,836
"kujawsko-pomorskie","chełmiński","Unisław","040407"," gm.","wiejska",4,5347,2412,2412,2386,973,1413
"kujawsko-pomorskie","golubsko-dobrzyński","Golub-Dobrzyń","040501"," m.","miejska",7,10154,5050,5050,4979,2206,2773
"kujawsko-pomorskie","golubsko-dobrzyński","Ciechocin","040502"," gm.","wiejska",2,3058,1435,1435,1417,894,523
"kujawsko-pomorskie","golubsko-dobrzyński","Golub-Dobrzyń","040503"," gm.","wiejska",5,6512,2815,2815,2776,1548,1228
"kujawsko-pomorskie","golubsko-dobrzyński","Kowalewo Pomorskie","040504"," gm.","miejsko-wiejska",8,8911,4112,4112,4064,1964,2100
"kujawsko-pomorskie","golubsko-dobrzyński","Radomin","040505"," gm.","wiejska",3,3255,1553,1553,1537,1044,493
"kujawsko-pomorskie","golubsko-dobrzyński","Zbójno","040506"," gm.","wiejska",3,3454,1493,1493,1468,887,581
"kujawsko-pomorskie","grudziądzki","Grudziądz","040601"," gm.","wiejska",10,8711,3942,3942,3887,1567,2320
"kujawsko-pomorskie","grudziądzki","Gruta","040602"," gm.","wiejska",6,5150,2363,2362,2338,1082,1256
"kujawsko-pomorskie","grudziądzki","Łasin","040603"," gm.","miejsko-wiejska",6,6532,2940,2940,2905,1273,1632
"kujawsko-pomorskie","grudziądzki","Radzyń Chełmiński","040604"," gm.","miejsko-wiejska",5,3765,1531,1531,1510,752,758
"kujawsko-pomorskie","grudziądzki","Rogóźno","040605"," gm.","wiejska",3,3187,1336,1336,1326,678,648
"kujawsko-pomorskie","grudziądzki","Świecie nad Osą","040606"," gm.","wiejska",3,3367,1257,1257,1216,567,649
"kujawsko-pomorskie","inowrocławski","Inowrocław","040701"," m.","miejska",44,62179,33631,33627,33179,10437,22742
"kujawsko-pomorskie","inowrocławski","Dąbrowa Biskupia","040702"," gm.","wiejska",5,4060,1647,1647,1632,816,816
"kujawsko-pomorskie","inowrocławski","Gniewkowo","040703"," gm.","miejsko-wiejska",13,11580,5343,5343,5266,2085,3181
"kujawsko-pomorskie","inowrocławski","Inowrocław","040704"," gm.","wiejska",6,8879,3969,3968,3904,1713,2191
"kujawsko-pomorskie","inowrocławski","Janikowo","040705"," gm.","miejsko-wiejska",10,10816,5054,5054,4982,1871,3111
"kujawsko-pomorskie","inowrocławski","Kruszwica","040706"," gm.","miejsko-wiejska",19,16209,7202,7202,7122,3185,3937
"kujawsko-pomorskie","inowrocławski","Pakość","040707"," gm.","miejsko-wiejska",6,7933,3724,3723,3680,1332,2348
"kujawsko-pomorskie","inowrocławski","Rojewo","040708"," gm.","wiejska",5,3604,1634,1633,1615,837,778
"kujawsko-pomorskie","inowrocławski","Złotniki Kujawskie","040709"," gm.","wiejska",10,7244,3364,3364,3307,1466,1841
"kujawsko-pomorskie","lipnowski","Lipno","040801"," m.","miejska",10,11862,5765,5765,5685,2531,3154
"kujawsko-pomorskie","lipnowski","Bobrowniki","040802"," gm.","wiejska",3,2348,1058,1057,1046,505,541
"kujawsko-pomorskie","lipnowski","Chrostkowo","040803"," gm.","wiejska",3,2407,977,977,967,610,357
"kujawsko-pomorskie","lipnowski","Dobrzyń nad Wisłą","040804"," gm.","miejsko-wiejska",8,6370,2740,2740,2720,1554,1166
"kujawsko-pomorskie","lipnowski","Kikół","040805"," gm.","wiejska",5,5601,2342,2342,2308,1281,1027
"kujawsko-pomorskie","lipnowski","Lipno","040806"," gm.","wiejska",8,8902,3637,3637,3572,2013,1559
"kujawsko-pomorskie","lipnowski","Skępe","040807"," gm.","miejsko-wiejska",6,6229,2945,2945,2908,1364,1544
"kujawsko-pomorskie","lipnowski","Tłuchowo","040808"," gm.","wiejska",4,3581,1530,1530,1500,1039,461
"kujawsko-pomorskie","lipnowski","Wielgie","040809"," gm.","wiejska",6,5144,2034,2034,1990,1078,912
"kujawsko-pomorskie","mogileński","Dąbrowa","040901"," gm.","wiejska",5,3717,1630,1630,1596,613,983
"kujawsko-pomorskie","mogileński","Jeziora Wielkie","040902"," gm.","wiejska",4,4116,1677,1677,1641,800,841
"kujawsko-pomorskie","mogileński","Mogilno","040903"," gm.","miejsko-wiejska",16,19766,9613,9611,9448,3962,5486
"kujawsko-pomorskie","mogileński","Strzelno","040904"," gm.","miejsko-wiejska",10,9755,4604,4604,4547,1858,2689
"kujawsko-pomorskie","nakielski","Kcynia","041001"," gm.","miejsko-wiejska",10,10680,5019,5019,4964,1940,3024
"kujawsko-pomorskie","nakielski","Mrocza","041002"," gm.","miejsko-wiejska",7,7020,3162,3162,3131,1281,1850
"kujawsko-pomorskie","nakielski","Nakło nad Notecią","041003"," gm.","miejsko-wiejska",21,26370,13755,13754,13615,4861,8754
